Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
2;02-MENOR A PUNTO DE PEDIDO;1003247;ZSTO;FILTRO DE VENTEO TANQUE HIDRAULICO;U365;0365;;V1;6;HB;9;2;0;0;0;0;F07;FILTRO FLUIDO HIDR;51061,6;FILPLUS // No aplica;MSA07 // TAP0126;FILTROS;VOLCADORA OMBU;8-VARIOS;0,095;0;KG;340,298;15;51061,6;;1;;;;;;;
3;03-MAYOR A PUNTO DE PEDIDO;1003278;ZSTO;FILTRO DE ACEITE MOTOR;U365;0365;;V1;2;HB;2;2;0;0;0;0;F03;FILTRO ACEITE;27996,82;TEREX // // BALDWIN //;RPTX07049700120 // LF3970 // B7177 // NRPSANB222100000303;FILTROS;TEREX RT 35;8-VARIOS;0;0;KG;0;15;27996,82;;;;1;;;;;
2;02-MENOR A PUNTO DE PEDIDO;1003285;ZSTO;FILTRO DE AIRE SECUNDARIO;U365;0365;;V1;2;HB;2;1;0;0;0;0;F04;FILTRO AIRE;114749,67;FLEETGUARD // DONALDSON;AF55308 // P633483;FILTROS;GRUA TEREX 780;8-VARIOS;0,45;0;KG;2700;20;114749,67;;1;;;;;;;
3;03-MAYOR A PUNTO DE PEDIDO;1003299;ZSTO;FILTRO RETORNO TANQUE HIDRAULICO;U365;0365;;V1;3;HB;5;5;0;0;0;0;F07;FILTRO FLUIDO HIDR;74030;UFI FILTER // DONALDSON;ESE11NCC // P565243;FILTROS;VOLCADORA BACO;8-VARIOS;0,526;0;KG;1359,822;20;147309,65;;;;1;;;;;
3;03-MAYOR A PUNTO DE PEDIDO;1003300;ZSTO;FILTRO DOSIFICACION DE UREA (COLADOR);U365;0365;;V1;8;HB;14;13;0;0;0;0;F09;FILTRO DE UREA;261759,68;VOLVO CONS;21954674;FILTROS;VOLVO 460 FMX;9-FRAGIL;0,01;0;KG;90;20;261759,7;;;;1;;;;;
2;02-MENOR A PUNTO DE PEDIDO;1003301;ZSTO;FILTRO DE TANQUE;U365;0365;;V1;12;HB;20;11;0;0;0;0;F06;FILTRO COMBUSTIBLE;749984,51;VOLVO CONS // VOLVO CONS;21516229 // 23381562;FILTROS;VOLVO 460 FMX;9-FRAGIL;0,1;0;KG;735;20;749984,5;;1;;;;;;;
2;02-MENOR A PUNTO DE PEDIDO;1003302;ZSTO;FILTRO ACEITE CAJA DE CAMBIO;U365;0365;;V1;11;HB;19;8;0;0;0;0;F03;FILTRO ACEITE;282707,44;VOLVO CONS // VOLVO CONS;20779040 // 24283117;FILTROS;VOLVO 460 FMX;8-VARIOS;0,09;0;KG;784;15;282707,41;;1;;;;;;;
3;03-MAYOR A PUNTO DE PEDIDO;1003316;ZSTO;FILTRO TANQUE HIDRAULICO;U365;0365;;V1;2;HB;3;2;0;0;0;0;F07;FILTRO FLUIDO HIDR;340325,1;VOLVO CONS // VOLVO CONS;VOE14530989 // VOE14531154;FILTROS;VOLVO EC 480D;8-VARIOS;1,338;0;KG;6355;15;340325,09;;;;1;;;;;
4;04-MAYOR A STOCK MAXIMO;1003334;ZSTO;FILTRO ACEITE F100 ELECTRONICA;U365;0365;;V1;2;HB;3;6;0;0;0;0;F03;FILTRO ACEITE;58792,66;FLEETGUARD // No aplica // //;LF16015 // P550011 // P551100. // W950/26;FILTROS;F-100;7-PESADO;0,72;0;KG;1458;15;170660,26;;;;;1;;;;
4;04-MAYOR A STOCK MAXIMO;1003341;ZSTO;FILTRO SECADOR AIRE;U365;0365;;V1;2;HB;3;6;0;0;0;0;F11;FILTRO SECADOR DE;99238;WABCO // // HENGST // // FLEETGUARD;4324100202 // P781466 // T250W // TB1374X // AF27817;FILTROS;VW (WACO);7-PESADO;2,66;0;KG;3570;15;286152,6;;;;;1;;;;
3;03-MAYOR A PUNTO DE PEDIDO;1003348;ZSTO;FILTRO ACEITE GE.AMAN (BAJO);U365;0365;;V1;2;HB;3;3;0;0;0;0;F03;FILTRO ACEITE;45144,75;FLEETGUARD //;LF699 // OB1028;FILTROS;AMAN;8-VARIOS;0;0;KG;0;15;45144,76;;;;1;;;;;
2;02-MENOR A PUNTO DE PEDIDO;1003373;ZSTO;FILTROAIREACONDCABINAEXTERIORINTERIOR;U365;0365;;V1;9;HB;16;6;0;0;0;0;F10;FILTRO HVAC;219479,52;VOLVO CONS;21758906;FILTROS;VOLVO FM460;9-FRAGIL;0,22;0;KG;2420;15;219479,49;;1;;;;;;;
4;04-MAYOR A STOCK MAXIMO;1003393;ZSTO;ORING PARA TAPA BLOW BY;U365;0365;;V1;2;HB;2;6;0;0;0;0;C29;FILTROS/RESPUESTOS;185786,76;CNH INDUST;2996234;REPUESTOS;IVECO;9-FRAGIL;0,02;0;KG;0;15;185786,77;;;;;1;;;;
4;04-MAYOR A STOCK MAXIMO;1003534;ZSTO;TUERCA DE RUEDA - IVECO ASTRA;U365;0365;;V1;17;HB;30;57;0;0;0;0;C03;EQUIPOS;518971,32;CNH // CNH INDUST;41031725 // 5801644126;REPUESTOS;CAMIONES;7-PESADO;0,14;0;KG;50,625;15;518971,59;;;;;1;;;;
4;04-MAYOR A STOCK MAXIMO;1003718;ZSTO;BULON DE CUCHILLAS LATERALES M.;U365;0365;;V1;34;HB;60;79;0;0;0;0;G05;AJUSTE;152421,81;CATERPILLA;1J6762;REPUESTOS;CAT 140K;7-PESADO;0,18;0;KG;56,549;15;152421,81;;;;;1;;;;
4;04-MAYOR A STOCK MAXIMO;1003856;ZSTO;TRABA ESC.;U365;0365;;V1;16;HB;27;38;0;0;0;0;C29;FILTROS/RESPUESTOS;278866,8;CATERPILLA;5K1459;REPUESTOS;CAT 140K;7-PESADO;0,3;0;KG;55;30;344866,8;;;;;1;;;;
